Nomor Telepon;Nama Lengkap;Bulan;Gaji (IDR)
08413740415;Joko Susilo;2024-06;5678580
08413740415;Joko Susilo;2024-07;6451096
08413740415;Joko Susilo;2024-08;10702991
08413740415;Joko Susilo;2024-09;9052206
08413740415;Joko Susilo;2024-10;7634345
08413740415;Joko Susilo;2024-11;9995467
08413740415;Joko Susilo;2024-12;6571576
08413740415;Joko Susilo;2025-01;5716198
08413740415;Joko Susilo;2025-02;5284042
08413740415;Joko Susilo;2025-03;11928294
08413740415;Joko Susilo;2025-04;6032375
08413740415;Joko Susilo;2025-05;7950119
08605615293;Ani Handayani;2024-06;9856839
08605615293;Ani Handayani;2024-07;9108616
08605615293;Ani Handayani;2024-08;5090281
08605615293;Ani Handayani;2024-09;7867584
08605615293;Ani Handayani;2024-10;7096656
08605615293;Ani Handayani;2024-11;10923076
08605615293;Ani Handayani;2024-12;4943917
08605615293;Ani Handayani;2025-01;8619746
08605615293;Ani Handayani;2025-02;11495382
08605615293;Ani Handayani;2025-03;11784697
08605615293;Ani Handayani;2025-04;11993453
08605615293;Ani Handayani;2025-05;4277046
08420483260;Siti Rahayu;2024-06;11132142
08420483260;Siti Rahayu;2024-07;6503775
08420483260;Siti Rahayu;2024-08;9998219
08420483260;Siti Rahayu;2024-09;5868061
08420483260;Siti Rahayu;2024-10;10943297
08420483260;Siti Rahayu;2024-11;6352758
08420483260;Siti Rahayu;2024-12;5793718
08420483260;Siti Rahayu;2025-01;9613682
08420483260;Siti Rahayu;2025-02;8152916
08420483260;Siti Rahayu;2025-03;10615823
08420483260;Siti Rahayu;2025-04;7061726
08420483260;Siti Rahayu;2025-05;10542453
08937434024;Ratna Sari;2024-06;7360829
08937434024;Ratna Sari;2024-07;8120778
08937434024;Ratna Sari;2024-08;11196042
08937434024;Ratna Sari;2024-09;7990939
08937434024;Ratna Sari;2024-10;5067078
08937434024;Ratna Sari;2024-11;4690404
08937434024;Ratna Sari;2024-12;8470128
08937434024;Ratna Sari;2025-01;5819226
08937434024;Ratna Sari;2025-02;9239887
08937434024;Ratna Sari;2025-03;10270296
08937434024;Ratna Sari;2025-04;5650378
08937434024;Ratna Sari;2025-05;5839610
08332861014;Sari Dewi;2024-06;9424085
08332861014;Sari Dewi;2024-07;4093067
08332861014;Sari Dewi;2024-08;10395485
08332861014;Sari Dewi;2024-09;8640288
08332861014;Sari Dewi;2024-10;7372602
08332861014;Sari Dewi;2024-11;8574574
08332861014;Sari Dewi;2024-12;5201036
08332861014;Sari Dewi;2025-01;11474342
08332861014;Sari Dewi;2025-02;9820525
08332861014;Sari Dewi;2025-03;8981985
08332861014;Sari Dewi;2025-04;10740681
08332861014;Sari Dewi;2025-05;8001878
08253732628;Sari Dewi;2024-06;9948171
08253732628;Sari Dewi;2024-07;9214191
08253732628;Sari Dewi;2024-08;11890812
08253732628;Sari Dewi;2024-09;7058455
08253732628;Sari Dewi;2024-10;6010660
08253732628;Sari Dewi;2024-11;8731040
08253732628;Sari Dewi;2024-12;10883079
08253732628;Sari Dewi;2025-01;5114271
08253732628;Sari Dewi;2025-02;4380363
08253732628;Sari Dewi;2025-03;7836975
08253732628;Sari Dewi;2025-04;10342504
08253732628;Sari Dewi;2025-05;8356397
08148686482;Eko Prasetyo;2024-06;5253456
08148686482;Eko Prasetyo;2024-07;7263871
08148686482;Eko Prasetyo;2024-08;10582327
08148686482;Eko Prasetyo;2024-09;11264347
08148686482;Eko Prasetyo;2024-10;7443529
08148686482;Eko Prasetyo;2024-11;9880496
08148686482;Eko Prasetyo;2024-12;8542091
08148686482;Eko Prasetyo;2025-01;5812183
08148686482;Eko Prasetyo;2025-02;10773339
08148686482;Eko Prasetyo;2025-03;5241994
08148686482;Eko Prasetyo;2025-04;11663965
08148686482;Eko Prasetyo;2025-05;8861529
08331959531;Sari Dewi;2024-06;9407115
08331959531;Sari Dewi;2024-07;10044190
08331959531;Sari Dewi;2024-08;11058822
08331959531;Sari Dewi;2024-09;4091845
08331959531;Sari Dewi;2024-10;9659514
08331959531;Sari Dewi;2024-11;4419005
08331959531;Sari Dewi;2024-12;11847843
08331959531;Sari Dewi;2025-01;11896434
08331959531;Sari Dewi;2025-02;6767812
08331959531;Sari Dewi;2025-03;4390948
08331959531;Sari Dewi;2025-04;4314819
08331959531;Sari Dewi;2025-05;9278780
08150041449;Ahmad Fauzi;2024-06;9564634
08150041449;Ahmad Fauzi;2024-07;6266775
08150041449;Ahmad Fauzi;2024-08;8705527
08150041449;Ahmad Fauzi;2024-09;10784174
08150041449;Ahmad Fauzi;2024-10;7879518
08150041449;Ahmad Fauzi;2024-11;9552380
08150041449;Ahmad Fauzi;2024-12;5944444
08150041449;Ahmad Fauzi;2025-01;5395902
08150041449;Ahmad Fauzi;2025-02;10991521
08150041449;Ahmad Fauzi;2025-03;11911793
08150041449;Ahmad Fauzi;2025-04;6819659
08150041449;Ahmad Fauzi;2025-05;7894784
08278675500;Ani Handayani;2024-06;5262082
08278675500;Ani Handayani;2024-07;8291192
08278675500;Ani Handayani;2024-08;7341507
08278675500;Ani Handayani;2024-09;8134850
08278675500;Ani Handayani;2024-10;8354180
08278675500;Ani Handayani;2024-11;11502860
08278675500;Ani Handayani;2024-12;11434820
08278675500;Ani Handayani;2025-01;7740344
08278675500;Ani Handayani;2025-02;11499203
08278675500;Ani Handayani;2025-03;8909056
08278675500;Ani Handayani;2025-04;6348791
08278675500;Ani Handayani;2025-05;9704457
08657335042;Maya Indah;2024-06;8935906
08657335042;Maya Indah;2024-07;11857934
08657335042;Maya Indah;2024-08;11862431
08657335042;Maya Indah;2024-09;10670877
08657335042;Maya Indah;2024-10;7810087
08657335042;Maya Indah;2024-11;11533139
08657335042;Maya Indah;2024-12;7158741
08657335042;Maya Indah;2025-01;9735575
08657335042;Maya Indah;2025-02;5277319
08657335042;Maya Indah;2025-03;7629450
08657335042;Maya Indah;2025-04;6214212
08657335042;Maya Indah;2025-05;8943102
08504318927;Firman Syah;2024-06;8059778
08504318927;Firman Syah;2024-07;8330549
08504318927;Firman Syah;2024-08;5492291
08504318927;Firman Syah;2024-09;11471741
08504318927;Firman Syah;2024-10;10010699
08504318927;Firman Syah;2024-11;9840017
08504318927;Firman Syah;2024-12;11609836
08504318927;Firman Syah;2025-01;11548820
08504318927;Firman Syah;2025-02;4324917
08504318927;Firman Syah;2025-03;4495949
08504318927;Firman Syah;2025-04;7799901
08504318927;Firman Syah;2025-05;10771526
08291013312;Rudi Hartono;2024-06;6438061
08291013312;Rudi Hartono;2024-07;4734773
08291013312;Rudi Hartono;2024-08;7850620
08291013312;Rudi Hartono;2024-09;5291055
08291013312;Rudi Hartono;2024-10;10116695
08291013312;Rudi Hartono;2024-11;10265647
