ID Transaksi;Nomor Telepon Pelanggan;Tanggal Transaksi;Jenis Transaksi;Jumlah Transaksi (Rp)
TRX0001;8944917052;2024-04-08;Angsuran;3071576
TRX0002;8865359515;2023-11-17;Tarik;2025059
TRX0003;8775908653;2025-02-26;Tarik;1983792
TRX0004;8904094505;2023-10-07;Setor;2603775
TRX0005;8451034052;2024-01-28;Pinjaman;8174873
TRX0006;8590611418;2024-11-01;Pinjaman;14443316
TRX0007;8179642633;2024-10-13;Tarik;395202
TRX0008;8169920310;2024-01-22;Tarik;969805
TRX0009;8548734793;2023-06-25;Angsuran;1701036
TRX0010;8807498984;2025-02-11;Angsuran;3558455
TRX0011;8975415631;2025-01-11;Tarik;240181
TRX0012;8884207936;2024-11-26;Tarik;1681935
TRX0013;8792367626;2025-05-31;Tarik;670997
TRX0014;8937497854;2025-04-04;Setor;519005
TRX0015;8868233211;2023-07-31;Setor;2366775
TRX0016;8416418815;2024-09-29;Tarik;747951
TRX0017;8101597645;2024-10-01;Tarik;2195596
TRX0018;8806665426;2024-10-30;Angsuran;2848791
TRX0019;8920480729;2025-02-05;Angsuran;3658741
TRX0020;8920480729;2023-11-16;Angsuran;2714212
TRX0021;8210194604;2024-10-21;Tarik;2970008
TRX0022;8332861014;2023-08-13;Angsuran;2938061
TRX0023;8504318927;2024-09-26;Tarik;1899236
TRX0024;8807498984;2024-03-23;Angsuran;2386233
TRX0025;8101597645;2025-04-29;Pinjaman;1714051
TRX0026;8142233460;2023-08-22;Pinjaman;16884212
TRX0027;8109494275;2023-12-10;Setor;3940877
TRX0028;8193124408;2025-04-22;Setor;3017971
TRX0029;8545167025;2023-07-27;Tarik;2448219
TRX0030;8278675500;2024-11-20;Setor;1115482
TRX0031;8109508978;2025-05-28;Tarik;2299468
TRX0032;8413740415;2024-06-19;Tarik;1975942
TRX0033;8121361502;2024-09-28;Pinjaman;5982664
TRX0034;8670186769;2024-07-07;Pinjaman;2112897
TRX0035;8913378597;2024-08-18;Setor;4769420
TRX0036;8383062286;2024-01-12;Setor;1413175
TRX0037;8414669238;2024-09-12;Setor;4887772
TRX0038;8171443445;2023-12-21;Tarik;141315
TRX0039;8110186335;2024-07-09;Setor;1403891
TRX0040;8332861014;2023-09-10;Angsuran;3732353
